Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
1950,0.133523712,0.106780434,0.103214377,0.094524003,0.087895595,0.076909213,0.066201129,0.064508188,0.058429792,0.050452674,0.042605564,0.035069086,0.029039904,0.021805126,0.014795432,0.008649048,0.005596723
1955,0.14691858,0.113753094,0.095414097,0.092311524,0.083914158,0.077862488,0.068116859,0.058201048,0.056301294,0.05023115,0.043126227,0.035270067,0.027877657,0.021532517,0.014655855,0.008688679,0.005824705
1960,0.143169329,0.12606114,0.101799729,0.085368041,0.082052818,0.074639473,0.06911882,0.060300394,0.050726415,0.048783212,0.043035156,0.03599285,0.028287461,0.020931616,0.014770455,0.008817203,0.006145886
1965,0.144087109,0.123263642,0.112170399,0.09082369,0.075698859,0.072807235,0.066141212,0.061018378,0.05280186,0.043666719,0.041550857,0.035950365,0.02877484,0.021286159,0.014478126,0.009028716,0.006451834
1970,0.141090731,0.12490806,0.109784577,0.099803228,0.080268592,0.066858325,0.064307173,0.058233602,0.053505813,0.04599729,0.037426207,0.034997385,0.029251923,0.022313138,0.015189692,0.009093464,0.0069708
1975,0.132955119,0.123324723,0.111821879,0.098198631,0.089045821,0.071785825,0.059745222,0.057216519,0.051542658,0.046980767,0.039926868,0.031803936,0.028878185,0.023037389,0.016247594,0.009862728,0.007626135
1980,0.122695274,0.117933091,0.111710386,0.101298814,0.088630448,0.080290164,0.064787421,0.053603525,0.051186489,0.045730281,0.04121838,0.034446837,0.026610967,0.023193616,0.017188335,0.010936144,0.008539828
1985,0.121818875,0.109189295,0.10694561,0.101343587,0.09153715,0.080007508,0.072572728,0.058347578,0.048042447,0.045484696,0.040177617,0.035574733,0.028901569,0.021378405,0.017401497,0.011627222,0.009649483
1990,0.121164776,0.108722203,0.099131638,0.097092963,0.091499716,0.082522236,0.072324002,0.065388594,0.052391636,0.042795679,0.040041757,0.034783044,0.029990745,0.023382163,0.016097148,0.011940177,0.01073152
1995,0.10881275,0.110039137,0.100228996,0.091103487,0.088648848,0.083664246,0.075694318,0.066151962,0.059565698,0.04729097,0.038275275,0.03518854,0.029783932,0.024625381,0.018022194,0.011228578,0.011675687
2000,0.098643228,0.100150195,0.102590816,0.093265176,0.084224103,0.081956548,0.077413151,0.069895283,0.060840269,0.054491953,0.042886374,0.034115172,0.030568544,0.024870413,0.01927952,0.012899398,0.011909857
2005,0.094339038,0.091454075,0.093873866,0.095905184,0.086583049,0.078185515,0.076003508,0.071768599,0.064610613,0.055760472,0.049672662,0.0386104,0.029963016,0.025792632,0.019830345,0.014061777,0.013585251
2010,0.092849052,0.08782007,0.085697001,0.087628671,0.089268026,0.080896946,0.072752538,0.070678427,0.066409696,0.059586949,0.050980812,0.044843055,0.033883539,0.025557823,0.020799846,0.014681544,0.015666006
2015,0.090937393,0.086579372,0.08243476,0.080428231,0.082108717,0.083614116,0.075652087,0.067863614,0.065742501,0.061494921,0.054728769,0.046182763,0.039774873,0.02908986,0.020794037,0.015560186,0.0170138
2020,0.086595149,0.085363237,0.081740538,0.077793502,0.075768312,0.07733628,0.078678259,0.070998957,0.063466511,0.061259137,0.056905008,0.049994451,0.041308106,0.034452124,0.023986866,0.015825707,0.018527857
2025,0.082155035,0.081847665,0.081150038,0.07767131,0.073755573,0.071796114,0.073176565,0.074294436,0.066840843,0.059488788,0.057047812,0.052410822,0.045140725,0.036118774,0.028686256,0.018569596,0.019849649
2030,0.078785599,0.078116163,0.07823769,0.077537654,0.074029866,0.0702332,0.068288715,0.069490291,0.070394653,0.063054672,0.055717978,0.052893221,0.047718759,0.039863806,0.030388329,0.022414622,0.022834783
2035,0.076566531,0.075302459,0.075017202,0.075101309,0.074260764,0.070840579,0.067121576,0.065151204,0.066160161,0.06678476,0.059393939,0.051916891,0.048462099,0.042490221,0.033887784,0.024028191,0.027514328
2040,0.074937895,0.073533242,0.072622514,0.072311647,0.072239059,0.071381882,0.06801123,0.064324818,0.062300059,0.063052614,0.063255068,0.055652734,0.047801148,0.04344256,0.036441941,0.027110375,0.031581214
2045,0.073338916,0.072303727,0.071209289,0.070287706,0.069842376,0.0697329,0.068833976,0.065471351,0.061781348,0.059629159,0.059991964,0.059613417,0.051558334,0.043089029,0.037560128,0.029459246,0.036297133
2050,0.071636228,0.071075226,0.070298555,0.069192289,0.068160197,0.067692979,0.067523317,0.066553471,0.063162414,0.059390805,0.056976967,0.056802534,0.055574566,0.046800217,0.037498044,0.03066327,0.040998922
